bucket_size;threads;algorithm;generating;splitting;sorting;writing;overall
35;1;3;0.004984;0.015277;0.010167;0.000915;0.028385
35;1;3;0.006186;0.013624;0.010051;0.001026;0.026581
35;1;3;0.004867;0.013107;0.010707;0.001056;0.026596
36;1;3;0.004796;0.014161;0.009907;0.001019;0.026838
36;1;3;0.006386;0.013612;0.010035;0.000921;0.026257
36;1;3;0.004806;0.013666;0.010213;0.000923;0.026613
37;1;3;0.005281;0.014714;0.010597;0.000921;0.028389
37;1;3;0.006122;0.013686;0.009995;0.001219;0.027040
37;1;3;0.004900;0.013953;0.009991;0.000970;0.026356
38;1;3;0.005078;0.014151;0.010097;0.000915;0.026770
38;1;3;0.006792;0.012917;0.010181;0.000910;0.026188
38;1;3;0.004787;0.013634;0.010082;0.000906;0.026760
39;1;3;0.005549;0.013681;0.010139;0.000910;0.026610
39;1;3;0.006576;0.012642;0.010202;0.001012;0.025680
39;1;3;0.005077;0.012692;0.010200;0.000949;0.025405
40;1;3;0.005105;0.013630;0.010667;0.000926;0.027170
40;1;3;0.006297;0.012680;0.010572;0.000914;0.026256
40;1;3;0.005081;0.013146;0.010632;0.000942;0.026927
41;1;3;0.004944;0.013065;0.011566;0.000912;0.027555
41;1;3;0.006252;0.012246;0.011061;0.000907;0.026403
41;1;3;0.004925;0.012892;0.010791;0.001124;0.026942
42;1;3;0.005144;0.014265;0.011111;0.001368;0.029628
42;1;3;0.006783;0.014465;0.010599;0.000972;0.028197
42;1;3;0.005310;0.012336;0.012036;0.001203;0.027828
43;1;3;0.005205;0.015972;0.011073;0.000915;0.029589
43;1;3;0.006434;0.012175;0.011000;0.000922;0.025766
43;1;3;0.005105;0.013259;0.010650;0.000903;0.026468
44;1;3;0.005144;0.012308;0.011093;0.000905;0.025914
44;1;3;0.006526;0.012078;0.010691;0.000913;0.025289
44;1;3;0.004950;0.012391;0.010909;0.000946;0.025919
45;1;3;0.005718;0.015218;0.013357;0.001210;0.031532
45;1;3;0.007467;0.014170;0.012185;0.001024;0.029034
45;1;3;0.005021;0.012268;0.010530;0.000892;0.025332
46;1;3;0.005294;0.012980;0.010760;0.000909;0.026482
46;1;3;0.006342;0.011865;0.010395;0.000955;0.024695
46;1;3;0.005232;0.012203;0.010576;0.000892;0.025571
47;1;3;0.004855;0.012421;0.010614;0.001061;0.026138
47;1;3;0.006292;0.011698;0.010759;0.000906;0.024922
47;1;3;0.005030;0.011897;0.010669;0.000896;0.025129
48;1;3;0.005052;0.012527;0.010529;0.000950;0.025440
48;1;3;0.007321;0.011587;0.010496;0.000902;0.024162
48;1;3;0.004829;0.012126;0.010864;0.000899;0.025267
49;1;3;0.004992;0.012337;0.010930;0.000982;0.025882
49;1;3;0.007146;0.011283;0.010547;0.000889;0.024090
49;1;3;0.004798;0.011678;0.010646;0.000889;0.024562
50;1;3;0.005284;0.012021;0.010969;0.000911;0.025185
50;1;3;0.006458;0.011318;0.010484;0.000890;0.023935
50;1;3;0.004746;0.011883;0.010816;0.000888;0.024814
51;1;3;0.005142;0.011569;0.010707;0.000893;0.024396
51;1;3;0.006791;0.011126;0.010764;0.000892;0.024087
51;1;3;0.005019;0.011573;0.010773;0.000898;0.024313
52;1;3;0.004976;0.011557;0.010675;0.000887;0.024390
52;1;3;0.006231;0.012200;0.010814;0.001060;0.025697
52;1;3;0.004987;0.012772;0.012274;0.000949;0.027450
53;1;3;0.005682;0.013570;0.012662;0.001098;0.028915
53;1;3;0.006831;0.011945;0.012616;0.000991;0.026855
53;1;3;0.004953;0.011361;0.011501;0.000944;0.025090
54;1;3;0.005403;0.012826;0.011451;0.000887;0.026365
54;1;3;0.007044;0.011132;0.011118;0.000901;0.024069
54;1;3;0.004742;0.010999;0.011166;0.000898;0.024470
55;1;3;0.004803;0.012941;0.011487;0.000885;0.026188
55;1;3;0.006257;0.011139;0.011977;0.001143;0.025545
55;1;3;0.004815;0.010303;0.011236;0.000899;0.023593
56;1;3;0.005089;0.011629;0.011474;0.000888;0.024906
